database,split,wav_path,duration,text,speaker,sex,emotion,lang
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_fearful_361.wav,5.841,새로 익히고 있는 증권업무도 전혀 낯선 일입니다.,ketts2-40m,m,fearful,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_angry_237.wav,4.885,소원을 들어주는 요술램프가 있었으면 좋겠다.,ketts2-50f,w,angry,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_sad_277.wav,5.303,우리 앞에 어떤 가능성도 배제하지 말자.,ketts2-60f,w,sad,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_neutral_354.wav,4.458,나는 정도를 걸으면서 양국은 하나라는 생각을 응원한다.,ketts2-30f,w,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_neutral_098.wav,6.55,무엇이든 가장 보편적인 것이 사람들에게 사랑받는 법이다.,ketts2-40m,m,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_neutral_086.wav,4.23,책을 읽을 때 조용하지 않으면 집중이 안 된다.,ketts2-50m,m,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50f_happy_447.wav,5.352,우리는 보수란 말의 이미지가 나빠져 있지요.,ketts2-50f,w,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-20m_fearful_470.wav,6.22,인터넷 사용을 하다보면 개인 정보가 유출될 우려가 있다.,ketts2-20m,m,fearful,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_disgusted_072.wav,7.2360000000000015,고르바초프 대통령의 한국방문을 환영하는 또하나의 이유는 그의 개혁과 개방정책이다.,ketts2-60f,w,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-40m_neutral_142.wav,5.4910000000000005,주쿠웨이트 한국대사관의 기능은 정상적인가.,ketts2-40m,m,neutral,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_disgusted_232.wav,9.58,지금까지 헌혈과정에서 에이즈감염자로 밝혀진 사람은 열세 명이며 매혈자가 감염자로 확인되기는 이번이 처음이다.,ketts2-50m,m,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-50m_disgusted_191.wav,8.52,집권 실무 경험만으로 생각해서는 안될 것이다 경험 없는 사람도 섞여 조화를 이루어야 한다.,ketts2-50m,m,disgusted,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-30f_happy_310.wav,5.2010000000000005,내가 미니스커트를 즐겨입는 것을 남자친구는 불만스러워 한다.,ketts2-30f,w,happy,ko
ketts2,train,/data2/sungjaecho/data_tts/KETTS2/KETTS2/wav/ketts2-60f_neutral_283.wav,5.376,특별한 방문목적이 있었을 텐데 성과는 어땠는지.,ketts2-60f,w,neutral,ko
